S-29A Google 0 0.4627450980392157 S:201.0, I:1.0, D:54.0
S-29A Kaldi 0 0.403921568627451 S:232.0, I:1.0, D:23.0
S-29A Google 1 0.45182724252491696 S:228.0, I:1.0, D:73.0
S-29A Kaldi 1 0.4119601328903654 S:265.0, I:1.0, D:36.0
S-29A Google 2 0.5416666666666666 S:195.0, I:0.0, D:117.0
S-29A Kaldi 2 0.40064102564102566 S:265.0, I:0.0, D:47.0
S-29A Google 3 0.47865853658536583 S:251.0, I:0.0, D:77.0
S-29A Kaldi 3 0.40853658536585363 S:290.0, I:1.0, D:38.0
S-29A Google 4 0.48698884758364314 S:398.0, I:6.0, D:140.0
S-29A Kaldi 4 0.3828996282527881 S:485.0, I:7.0, D:53.0
S-29A Google 5 0.4098939929328622 S:225.0, I:1.0, D:58.0
S-29A Kaldi 5 0.3321554770318021 S:252.0, I:2.0, D:31.0
S-29A Google 6 0.47368421052631576 S:26.0, I:0.0, D:12.0
S-29A Kaldi 6 0.4473684210526316 S:33.0, I:0.0, D:5.0
S-29A Google 7 0.3977272727272727 S:70.0, I:0.0, D:18.0
S-29A Kaldi 7 0.38636363636363635 S:81.0, I:0.0, D:7.0
S-29A Google 8 0.3333333333333333 S:65.0, I:0.0, D:13.0
S-29A Kaldi 8 0.38461538461538464 S:73.0, I:3.0, D:5.0
S-29A Google 9 0.5476190476190477 S:31.0, I:0.0, D:11.0
S-29A Kaldi 9 0.40476190476190477 S:37.0, I:0.0, D:5.0
S-29A Google 10 0.4507042253521127 S:56.0, I:1.0, D:15.0
S-29A Kaldi 10 0.36619718309859156 S:64.0, I:0.0, D:7.0
S-29A Google 11 0.39622641509433965 S:41.0, I:0.0, D:12.0
S-29A Kaldi 11 0.49056603773584906 S:43.0, I:0.0, D:10.0
S-2B Google 0 0.7083333333333334 S:61.0, I:0.0, D:59.0
S-2B Kaldi 0 0.65 S:97.0, I:2.0, D:23.0
S-2B Google 1 0.7763157894736842 S:72.0, I:0.0, D:80.0
